########### DF Stable ###########

Threshold |  Reduced |      % |        TAD |    MAD |     MD
------------------------------------------------------------
   0.0010 |      937 |  58.23 |     2.1601 | 0.0013 | 0.0800
   0.0022 |      937 |  58.23 |     2.1601 | 0.0013 | 0.0800
   0.0046 |      937 |  58.23 |     2.1601 | 0.0013 | 0.0800
   0.0100 |      814 |  50.59 |     3.4742 | 0.0022 | 0.0800
   0.0215 |      395 |  24.55 |     8.5516 | 0.0053 | 0.0379
   0.0464 |       81 |   5.03 |    16.5047 | 0.0103 | 0.0900
   0.1000 |       56 |   3.48 |    18.0348 | 0.0112 | 0.0900
   0.2154 |       56 |   3.48 |    18.0348 | 0.0112 | 0.0900
   0.4642 |       56 |   3.48 |    18.0348 | 0.0112 | 0.0900
   1.0000 |       56 |   3.48 |    18.0348 | 0.0112 | 0.0900
	   
########### DA Rising ###########

Threshold |  Reduced |      % |        TAD |    MAD |     MD
------------------------------------------------------------
   0.0010 |     1130 |  70.71 |     1.8559 | 0.0012 | 0.0375
   0.0022 |     1130 |  70.71 |     1.8559 | 0.0012 | 0.0375
   0.0046 |     1130 |  70.71 |     1.8559 | 0.0012 | 0.0375
   0.0100 |      964 |  60.33 |     6.9169 | 0.0043 | 3.9300
   0.0215 |      557 |  34.86 |     7.7232 | 0.0048 | 0.0579
   0.0464 |      334 |  20.90 |    21.6900 | 0.0136 | 3.9300
   0.1000 |      158 |   9.89 |    35.4371 | 0.0222 | 3.9300
   0.2154 |       56 |   3.50 |    83.5099 | 0.0523 | 4.0800
   0.4642 |       56 |   3.50 |    83.5099 | 0.0523 | 4.0800
   1.0000 |       56 |   3.50 |    83.5099 | 0.0523 | 4.0800

	   
########### DA Fluctuating ###########

Threshold |  Reduced |      % |        TAD |    MAD |     MD
------------------------------------------------------------
   0.0010 |     1605 |  96.86 |     0.5902 | 0.0004 | 0.0453
   0.0022 |     1605 |  96.86 |     0.5902 | 0.0004 | 0.0453
   0.0046 |     1605 |  96.86 |     0.5902 | 0.0004 | 0.0453
   0.0100 |     1561 |  94.21 |     1.0378 | 0.0006 | 0.0453
   0.0215 |     1448 |  87.39 |     2.7620 | 0.0017 | 0.0966
   0.0464 |     1264 |  76.28 |     5.2529 | 0.0032 | 0.1132
   0.1000 |      911 |  54.98 |    23.8916 | 0.0144 | 5.9400
   0.2154 |      635 |  38.32 |    29.8894 | 0.0180 | 5.8800
   0.4642 |      394 |  23.78 |    53.5734 | 0.0323 | 0.7015
   1.0000 |      241 |  14.54 |   150.2663 | 0.0907 | 5.9400
